community,focus_num,price,url,area,title,city,model,average_price
,,,,,,,,
万科柏悦湾,16,431.2万,https://gz.lianjia.com/ershoufang/GZ0003805115.html,95.69平米,万科柏悦湾 精致三房 南向采光,荔湾区,3室2厅,45063
,,,,,,,,
广州海伦堡,43,195万,https://gz.lianjia.com/ershoufang/GZ0003396782.html,94.5平米,广州海伦堡东向精装三房看房随时方便,增城区,3室2厅,20635
,,,,,,,,
万科柏悦湾,16,431.2万,https://gz.lianjia.com/ershoufang/GZ0003805115.html,95.69平米,万科柏悦湾 精致三房 南向采光,荔湾区,3室2厅,45063
,,,,,,,,
芳草园,83,840万,https://gz.lianjia.com/ershoufang/GZ0002839515.html,117.05平米,芳草园 精装三房 大型花园小区 安静,天河区,3室2厅,71765
,,,,,,,,
龙光峰景华庭,113,255万,https://gz.lianjia.com/ershoufang/GZ0003083403.html,89平米,龙光西向三房 采光好 户型实用,黄埔区,3室2厅,28652
,,,,,,,,
赛拉维,98,400万,https://gz.lianjia.com/ershoufang/GZ0002872539.html,75.59平米,赛拉维 南向方正两房 安静望花园,天河区,2室2厅,52918
,,,,,,,,
保利春天里,20,300万,https://gz.lianjia.com/ershoufang/GZ0004048376.html,92平米,保利春天里 证过五年 带装修,白云区,3室2厅,32609
,,,,,,,,
祈福新村海晴居,16,190万,https://gz.lianjia.com/ershoufang/GZ0004150262.html,60.2平米,祈福新村 海晴居 位置好 楼龄好,番禺区,2室2厅,31562
,,,,,,,,
金影花园,458,225万,https://gz.lianjia.com/ershoufang/GZ0003307867.html,72.88平米,客村地铁 金影花园 南向大两房 户型方正,海珠区,2室1厅,30873
,,,,,,,,
广州海伦堡,43,195万,https://gz.lianjia.com/ershoufang/GZ0003396782.html,94.5平米,广州海伦堡东向精装三房看房随时方便,增城区,3室2厅,20635
,,,,,,,,
万科柏悦湾,16,431.2万,https://gz.lianjia.com/ershoufang/GZ0003805115.html,95.69平米,万科柏悦湾 精致三房 南向采光,荔湾区,3室2厅,45063
,,,,,,,,
芳草园,83,840万,https://gz.lianjia.com/ershoufang/GZ0002839515.html,117.05平米,芳草园 精装三房 大型花园小区 安静,天河区,3室2厅,71765
,,,,,,,,
龙光峰景华庭,113,255万,https://gz.lianjia.com/ershoufang/GZ0003083403.html,89平米,龙光西向三房 采光好 户型实用,黄埔区,3室2厅,28652
,,,,,,,,
赛拉维,98,400万,https://gz.lianjia.com/ershoufang/GZ0002872539.html,75.59平米,赛拉维 南向方正两房 安静望花园,天河区,2室2厅,52918
,,,,,,,,
保利春天里,20,300万,https://gz.lianjia.com/ershoufang/GZ0004048376.html,92平米,保利春天里 证过五年 带装修,白云区,3室2厅,32609
,,,,,,,,
祈福新村海晴居,16,190万,https://gz.lianjia.com/ershoufang/GZ0004150262.html,60.2平米,祈福新村 海晴居 位置好 楼龄好,番禺区,2室2厅,31562
,,,,,,,,
金影花园,458,225万,https://gz.lianjia.com/ershoufang/GZ0003307867.html,72.88平米,客村地铁 金影花园 南向大两房 户型方正,海珠区,2室1厅,30873
,,,,,,,,
广州海伦堡,43,195万,https://gz.lianjia.com/ershoufang/GZ0003396782.html,94.5平米,广州海伦堡东向精装三房看房随时方便,增城区,3室2厅,20635
,,,,,,,,
万科柏悦湾,16,431.2万,https://gz.lianjia.com/ershoufang/GZ0003805115.html,95.69平米,万科柏悦湾 精致三房 南向采光,荔湾区,3室2厅,45063
,,,,,,,,
芳草园,83,840万,https://gz.lianjia.com/ershoufang/GZ0002839515.html,117.05平米,芳草园 精装三房 大型花园小区 安静,天河区,3室2厅,71765
,,,,,,,,
龙光峰景华庭,113,255万,https://gz.lianjia.com/ershoufang/GZ0003083403.html,89平米,龙光西向三房 采光好 户型实用,黄埔区,3室2厅,28652
,,,,,,,,
赛拉维,98,400万,https://gz.lianjia.com/ershoufang/GZ0002872539.html,75.59平米,赛拉维 南向方正两房 安静望花园,天河区,2室2厅,52918
,,,,,,,,
保利春天里,20,300万,https://gz.lianjia.com/ershoufang/GZ0004048376.html,92平米,保利春天里 证过五年 带装修,白云区,3室2厅,32609
,,,,,,,,
祈福新村海晴居,16,190万,https://gz.lianjia.com/ershoufang/GZ0004150262.html,60.2平米,祈福新村 海晴居 位置好 楼龄好,番禺区,2室2厅,31562
,,,,,,,,
金影花园,458,225万,https://gz.lianjia.com/ershoufang/GZ0003307867.html,72.88平米,客村地铁 金影花园 南向大两房 户型方正,海珠区,2室1厅,30873
,,,,,,,,
广州海伦堡,43,195万,https://gz.lianjia.com/ershoufang/GZ0003396782.html,94.5平米,广州海伦堡东向精装三房看房随时方便,增城区,3室2厅,20635
,,,,,,,,
万科柏悦湾,16,431.2万,https://gz.lianjia.com/ershoufang/GZ0003805115.html,95.69平米,万科柏悦湾 精致三房 南向采光,荔湾区,3室2厅,45063
,,,,,,,,
